TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80464,BIOL,475.03,Senior Seminar,.50,4,,WF,1410-1530,,-,PI,10,,"Gillen,K,,"
202680,80056,BIOL,497.00,Senior Honors,.50,4,,M,1310-1600,,-,GP,10,,"Wright,N,,"
202680,80596,CHEM,112.00,Chemistry & Climate Change,.50,4,,MWF,0910-1000,,-,,16,,"Rouhier,K,,"
202680,80597,CHEM,121.01,Introductory Chemistry,.50,4,,MWF,0910-1000,,-,,45,,"Hunter,N,,"
202680,80598,CHEM,121.02,Introductory Chemistry,.50,4,,MWF,1110-1200,,-,,45,,"Rouhier,K,,"
202680,80599,CHEM,122.00,Chemical Principles,.50,4,,MWF,0910-1000,,-,,20,,"Garcia,S,,"
202680,80600,CHEM,123.01,Introductory Chemistry Lab I,.25,2,,M,1310-1600,,-,,14,,"Garcia,S,,"
202680,80601,CHEM,123.02,Introductory Chemistry Lab I,.25,2,,T,1310-1600,,-,,14,,"Hunter,N,,"
202680,80602,CHEM,123.03,Introductory Chemistry Lab I,.25,2,,W,1310-1600,,-,PI,14,,Dr. Staff
202680,80603,CHEM,123.04,Introductory Chemistry Lab I,.25,2,,R,1310-1600,,-,,14,,Dr. Staff
202680,80604,CHEM,123.05,Introductory Chemistry Lab I,.25,2,,T,0810-1100,,-,PI,14,,Dr. Staff
202680,80605,CHEM,123.06,Introductory Chemistry Lab I,.25,2,,R,0810-1100,,-,PI,14,,Dr. Staff
202680,80606,CHEM,232.00,Organic Chemistry II,.50,4,,TR,0940-1100,,-,,45,,"Starr,K,,"
202680,80607,CHEM,234.01,Organic Chemistry Lab II,.25,2,,T,1310-1600,,-,,13,,"Hunsen,M,,"
202680,80608,CHEM,234.02,Organic Chemistry Lab II,.25,2,,W,1310-1600,,-,,13,,Dr. Staff
202680,80609,CHEM,234.03,Organic Chemistry Lab II,.25,2,,R,1310-1600,,-,PI,13,,Dr. Staff
202680,80610,CHEM,243.00,Inorganic Chemistry,.50,4,,TR,0810-0930,,-,,16,,"Hunter,N,,"
202680,80611,CHEM,335.00,Chem Kinetics & Thermodynamics,.50,4,,TR,0810-0930,,-,,24,,"Keller,J,,"
202680,80612,CHEM,370.00,Adv. Lab:Computational Chem,.25,2,,T,1310-1600,,-,,8,,"Garcia,S,,"
202680,80613,CHEM,374.00,Advanced Lab--Spectroscopy,.25,2,,R,1310-1600,,-,,8,,"Keller,J,,"
202680,80614,CHEM,375.01,Chemical Research,.25,4,,,-,,-,PI,25,,"Rouhier,K,,"
202680,80615,CHEM,375.02,Chemical Research,.25,4,,,-,,-,PI,25,,"Rouhier,K,,"
202680,80616,CHEM,475.00,Senior Seminar,.25,2,,M,1310-1600,,-,,16,,"Rouhier,K,,"
202680,80057,CHEM,497.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Hunsen,M,,"
202680,80588,CLAS,112.00,Roman History,.50,4,,MR,1900-2020,,-,,33,,"Izzo,J,,"
202680,80589,CLAS,130.00,Classical Mythology,.50,4,,MWF,1510-1600,,-,,33,,"Hahnemann,C,,"
202680,80590,CLAS,225.00,Ends of the Earth,.50,4,,MWF,1010-1100,,-,,33,,"Myers,M,,"
202680,80591,CLAS,471.00,Senior Seminar in Classics,.50,4,,TR,0940-1100,,-,,15,,"Serfass,A,,"
202680,80058,CLAS,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Myers,M,,"
202680,80432,COMP,118.01,Introduction to Programming,.50,4,,WF,0840-1000,,-,,25,,Dr. Staff
202680,80434,COMP,118.02,Introduction to Programming,.50,4,,WF,1410-1530,,-,,25,,"Skon,J,,"
202680,80437,COMP,191.01,ST: PENDING CPC APPROVAL,.25,4,,M,1310-1600,,-,,12,,Dr. Staff
202680,80439,COMP,191.02,ST: PENDING CPC APPROVAL,.25,4,,MWF,1010-1100,,-,,25,,"Skon,J,,"
