term,crn,subject,course_number,title,unit_value,credits,instruction_mode,days,start_time,end_time,additional_days,additional_time,seats_available,instructor
202680,80468,ECON,101.04,Princ of Microeconomics,0.5,4.0,,MWF,10:10,11:00,,,28,Corrigan J
202680,80469,ECON,101.05,Princ of Microeconomics,0.5,4.0,,MWF,12:10,13:00,,,28,Kolliner D
202680,80470,ECON,101.06,Princ of Microeconomics,0.5,4.0,,MWF,13:10,14:00,,,28,Kolliner D
202680,80471,ECON,101.07,Princ of Microeconomics,0.5,4.0,,MWF,14:10,15:00,,,28,An G
202680,80472,ECON,101.08,Princ of Microeconomics,0.5,4.0,,MWF,15:10,16:00,,,28,An G
202680,80473,ECON,102.00,Princ of Macroeconomics,0.5,4.0,,TR,09:40,11:00,,,28,Rendell L
202680,80474,ECON,201.01,Microeconomic Theory,0.5,4.0,,MWF,11:10,12:00,,,28,Black K
202680,80475,ECON,201.02,Microeconomic Theory,0.5,4.0,,MWF,12:10,13:00,,,28,Black K
202680,80476,ECON,205.01,Introduction to Econometrics,0.5,4.0,,MWF,14:10,15:00,,,16,Diethorn H
202680,80477,ECON,205.02,Introduction to Econometrics,0.5,4.0,,MWF,15:10,16:00,,,16,Diethorn H
202680,80478,ECON,337.00,Portfolio Allocation,0.5,4.0,,TR,08:10,09:30,,,25,Glandon P
202680,80479,ECON,338.00,International Trade,0.5,4.0,,MR,19:00,20:20,,,25,An G
202680,80480,ECON,344.00,Labor Economics,0.5,4.0,,MWF,13:10,14:00,,,25,Diethorn H
202680,80570,ECON,365.00,Economics of Education Policy,0.5,4.0,,TR,13:10,14:30,,,25,Rendell L
202680,80482,ECON,437.00,The Economics of Corporations,0.5,4.0,,TR,13:10,14:30,,,8,Glandon P
202680,80483,ECON,471.00,Experimental & Behavioral Econ,0.5,4.0,,TR,14:40,16:00,,,8,Corrigan J
202680,80484,ECON,476.00,Political Economy,0.5,4.0,,WF,08:40,10:00,,,8,Kolliner D
202680,80490,ENGL,103.01,Health and Healing,0.5,4.0,,MWF,10:10,11:00,,,15,Fernando K
202680,80491,ENGL,103.02,Health and Healing,0.5,4.0,,MWF,14:10,15:00,,,15,Fernando K
202680,80492,ENGL,103.03,Assault of Laughter,0.5,4.0,,MWF,09:10,10:00,,,15,Grace A
202680,80493,ENGL,103.04,Making a Life,0.5,4.0,,MWF,15:10,16:00,,,15,Heidt S
202680,80494,ENGL,103.05,Bodily Matters,0.5,4.0,,MWF,11:10,12:00,,,15,Lau T
202680,80495,ENGL,103.06,Seductions,0.5,4.0,,MWF,14:10,15:00,,,15,Lobanov-Rostovsky S
202680,80496,ENGL,103.07,Writing the Mind,0.5,4.0,,MWF,10:10,11:00,,,15,Matz J
202680,80497,ENGL,103.08,Writing the Mind,0.5,4.0,,MWF,12:10,13:00,,,15,Matz J
202680,80498,ENGL,103.09,Writing the Race,0.5,4.0,,MWF,09:10,10:00,,,15,Schoenfeld J
202680,80499,ENGL,103.10,Authorship,0.5,4.0,,MWF,12:10,13:00,,,15,Suazo M
202680,80501,ENGL,103.11,Introduction to Lit & Language,0.5,4.0,,,,,,,15,Dr. Staff
202680,80503,ENGL,201.00,Introduction to Poetry Writing,0.5,4.0,,R,13:10,16:00,,,15,Grace A
202680,80505,ENGL,205.00,Multi-Genre Creative Writing,0.5,4.0,,R,13:10,16:00,,,15,Arocho Hernandez N
202680,80506,ENGL,206.00,Intro Science & Nature Writing,0.5,4.0,,T,13:10,16:00,,,15,Warren H
202680,80507,ENGL,207.00,Asian American Poetry,0.5,4.0,,M,13:10,16:00,,,20,Leong M
202680,80508,ENGL,217.00,Writing Center Colloquium,0.25,2.0,,MW,13:10,14:00,,,20,Scanlon A
202680,80509,ENGL,251.00,Studies in British Romanticism,0.5,4.0,,WF,14:10,15:30,,,20,Lau T
202680,80510,ENGL,266.00,Decolonization and Violence,0.5,4.0,,TR,09:40,11:00,,,20,Fernando K
202680,80511,ENGL,300.01,Intermediate Fiction Writing,0.5,4.0,,TR,09:40,11:00,,,12,Parssinen K
202680,80513,ENGL,301.00,Intermediate Poetry Writing,0.5,4.0,,T,13:10,16:00,,,12,Leong M
202680,80514,ENGL,320.00,Shakespeare,0.5,4.0,,TR,14:40,16:00,,,20,Davidson A
202680,80515,ENGL,336.00,17th-Century Poetry,0.5,4.0,,MWF,10:10,11:00,,,20,Lobanov-Rostovsky S
202680,80581,ENGL,358.00,Victorian Ghosts,0.5,4.0,,MWF,13:10,14:00,,,20,Lau T
202680,80516,ENGL,375.00,U.S. Fiction in 19th-cent.,0.5,4.0,,MWF,15:10,16:00,,,20,Suazo M
202680,80517,ENGL,385.00,Contemporary American Poetry,0.5,4.0,,MWF,11:10,12:00,,,20,Grace A
202680,80518,ENGL,386.00,Toni Morrison,0.5,4.0,,WF,14:10,15:30,,,20,Schoenfeld J
202680,80656,ENGL,391.02,ST: Flash Prose Studio,0.5,4.0,,M,13:10,16:00,,,12,Parssinen K
202680,80520,ENGL,404.00,Advanced Prose,0.5,4.0,,TR,13:10,14:30,,,15,Parssinen K
